Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
LE07_CU_006014_20200114_20200211_C01_V01,2020/01/14,CU,6,14,2020/02/11,38.9264,4.0806,0.0012,93.1665,LANDSAT_7,ETM,1,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LE07_CU_006014_20200114_20200211_C01_V01,LE07_CU_006014_20200114_C01_V01
LE07_CU_007013_20200114_20200211_C01_V01,2020/01/14,CU,7,13,2020/02/11,1.7919,0.3024,0.3504,46.7139,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,34°22'20.95"N,112°38'44.09"W,34°22'20.95"N,110°46'20.77"W,34°22'20.95"N,112°38'44.09"W,32°49'37.21"N,112°38'44.09"W,34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LE07_CU_007013_20200114_20200211_C01_V01,LE07_CU_007013_20200114_C01_V01
LE07_CU_007014_20200114_20200211_C01_V01,2020/01/14,CU,7,14,2020/02/11,9.6503,2.3408,0.0623,19.5152,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LE07_CU_007014_20200114_20200211_C01_V01,LE07_CU_007014_20200114_C01_V01
LC08_CU_007014_20200115_20200130_C01_V01,2020/01/15,CU,7,14,2020/01/30,96.5963,2.9783,0.0009,94.8164,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LC08_CU_007014_20200115_20200130_C01_V01,LC08_CU_007014_20200115_C01_V01
LC08_CU_006013_20200120_20200129_C01_V01,2020/01/20,CU,6,13,2020/01/29,99.9685,0.0315,0,29.0604,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,34°08'59.72"N,114°15'16.35"W,34°08'59.72"N,112°21'53.03"W,34°08'59.72"N,114°15'16.35"W,32°35'08"N,114°15'16.35"W,34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20200120_20200129_C01_V01,LC08_CU_006013_20200120_C01_V01
LC08_CU_006014_20200120_20200129_C01_V01,2020/01/20,CU,6,14,2020/01/29,91.4677,5.8056,0.9186,72.9921,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20200120_20200129_C01_V01,LC08_CU_006014_20200120_C01_V01
LE07_CU_006013_20200121_20200218_C01_V01,2020/01/21,CU,6,13,2020/02/18,100,0,0,99.6156,LANDSAT_7,ETM,1,WGS84,AEA,METERS,01,01,34°08'59.72"N,114°15'16.35"W,34°08'59.72"N,112°21'53.03"W,34°08'59.72"N,114°15'16.35"W,32°35'08"N,114°15'16.35"W,34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LE07_CU_006013_20200121_20200218_C01_V01,LE07_CU_006013_20200121_C01_V01
LE07_CU_006014_20200121_20200218_C01_V01,2020/01/21,CU,6,14,2020/02/18,74.4963,2.0482,0.0115,27.0785,LANDSAT_7,ETM,1,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LE07_CU_006014_20200121_20200218_C01_V01,LE07_CU_006014_20200121_C01_V01
LE07_CU_007014_20200121_20200218_C01_V01,2020/01/21,CU,7,14,2020/02/18,78.7249,1.2391,0.0015,91.1394,LANDSAT_7,ETM,1,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LE07_CU_007014_20200121_20200218_C01_V01,LE07_CU_007014_20200121_C01_V01
LC08_CU_006014_20200122_20200130_C01_V01,2020/01/22,CU,6,14,2020/01/30,53.6808,12.2079,0,93.8153,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20200122_20200130_C01_V01,LC08_CU_006014_20200122_C01_V01
