,Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
1179,LC08_CU_006013_20190829_20190908_C01_V01,2019/08/29,CU,6,13,2019/09/08,0.0007,0.0,0.0,28.9161,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20190829_20190908_C01_V01,LC08_CU_006013_20190829_C01_V01
1180,LC08_CU_006014_20190829_20190908_C01_V01,2019/08/29,CU,6,14,2019/09/08,0.0017,0.0,0.0,72.8885,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20190829_20190908_C01_V01,LC08_CU_006014_20190829_C01_V01
1185,LC08_CU_006014_20190831_20190922_C01_V01,2019/08/31,CU,6,14,2019/09/22,0.0,0.0,0.0,93.8951,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20190831_20190922_C01_V01,LC08_CU_006014_20190831_C01_V01
1186,LC08_CU_007013_20190831_20190922_C01_V01,2019/08/31,CU,7,13,2019/09/22,1.8528,1.0385,0.0,38.4521,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20190831_20190922_C01_V01,LC08_CU_007013_20190831_C01_V01
1187,LC08_CU_007014_20190831_20190922_C01_V01,2019/08/31,CU,7,14,2019/09/22,0.0789,0.0226,0.0,4.1467,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20190831_20190922_C01_V01,LC08_CU_007014_20190831_C01_V01
1191,LC08_CU_006013_20190907_20190919_C01_V01,2019/09/07,CU,6,13,2019/09/19,2.4642,1.5824,0.0,37.9173,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20190907_20190919_C01_V01,LC08_CU_006013_20190907_C01_V01
1192,LC08_CU_006014_20190907_20190919_C01_V01,2019/09/07,CU,6,14,2019/09/19,32.7046,4.3272,0.0,3.3192,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20190907_20190919_C01_V01,LC08_CU_006014_20190907_C01_V01
1193,LC08_CU_007013_20190907_20190919_C01_V01,2019/09/07,CU,7,13,2019/09/19,43.5513,6.4815,0.0003,28.3929,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20190907_20190919_C01_V01,LC08_CU_007013_20190907_C01_V01
1194,LC08_CU_007014_20190907_20190919_C01_V01,2019/09/07,CU,7,14,2019/09/19,90.3135,2.6777,0.0,70.3702,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20190907_20190919_C01_V01,LC08_CU_007014_20190907_C01_V01
1198,LC08_CU_007014_20190909_20190919_C01_V01,2019/09/09,CU,7,14,2019/09/19,34.7832,13.0371,0.0,94.8882,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20190909_20190919_C01_V01,LC08_CU_007014_20190909_C01_V01
1199,LC08_CU_006013_20190914_20191001_C01_V01,2019/09/14,CU,6,13,2019/10/01,4.0925,2.4566,0.0,29.3112,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20190914_20191001_C01_V01,LC08_CU_006013_20190914_C01_V01
1200,LC08_CU_006014_20190914_20191001_C01_V01,2019/09/14,CU,6,14,2019/10/01,0.3851,0.3464,0.0,73.2836,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20190914_20191001_C01_V01,LC08_CU_006014_20190914_C01_V01
1205,LC08_CU_006014_20190916_20191001_C01_V01,2019/09/16,CU,6,14,2019/10/01,0.4877,0.6127,0.0,93.6392,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20190916_20191001_C01_V01,LC08_CU_006014_20190916_C01_V01
1206,LC08_CU_007013_20190916_20191001_C01_V01,2019/09/16,CU,7,13,2019/10/01,47.4124,7.3273,0.0001,37.9941,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20190916_20191001_C01_V01,LC08_CU_007013_20190916_C01_V01
1207,LC08_CU_007014_20190916_20191001_C01_V01,2019/09/16,CU,7,14,2019/10/01,35.3399,5.7885,0.0,3.9405,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20190916_20191001_C01_V01,LC08_CU_007014_20190916_C01_V01
1211,LC08_CU_006013_20190923_20191015_C01_V01,2019/09/23,CU,6,13,2019/10/15,43.6022,10.6651,3.9294,37.1521,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20190923_20191015_C01_V01,LC08_CU_006013_20190923_C01_V01
1212,LC08_CU_006014_20190923_20191015_C01_V01,2019/09/23,CU,6,14,2019/10/15,25.4069,11.1586,0.0002,3.0199,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20190923_20191015_C01_V01,LC08_CU_006014_20190923_C01_V01
1213,LC08_CU_007013_20190923_20191003_C01_V01,2019/09/23,CU,7,13,2019/10/03,45.8169,11.3516,17.3763,29.1469,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20190923_20191003_C01_V01,LC08_CU_007013_20190923_C01_V01
1214,LC08_CU_007014_20190923_20191015_C01_V01,2019/09/23,CU,7,14,2019/10/15,27.0296,13.8845,0.0018,71.1364,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20190923_20191015_C01_V01,LC08_CU_007014_20190923_C01_V01
1218,LC08_CU_007014_20190925_20191020_C01_V01,2019/09/25,CU,7,14,2019/10/20,100.0,0.0,0.0,94.5369,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20190925_20191020_C01_V01,LC08_CU_007014_20190925_C01_V01
1219,LC08_CU_006013_20190930_20191020_C01_V01,2019/09/30,CU,6,13,2019/10/20,0.0116,0.004,0.0,29.791999999999998,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20190930_20191020_C01_V01,LC08_CU_006013_20190930_C01_V01
1220,LC08_CU_006014_20190930_20191020_C01_V01,2019/09/30,CU,6,14,2019/10/20,0.4332,0.0529,0.0,73.774,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20190930_20191020_C01_V01,LC08_CU_006014_20190930_C01_V01
1225,LC08_CU_006014_20191002_20191020_C01_V01,2019/10/02,CU,6,14,2019/10/20,4.9754,3.1942,0.0,93.31299999999999,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20191002_20191020_C01_V01,LC08_CU_006014_20191002_C01_V01
1226,LC08_CU_007013_20191002_20191020_C01_V01,2019/10/02,CU,7,13,2019/10/20,0.1854,0.1296,0.0,37.4321,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20191002_20191020_C01_V01,LC08_CU_007013_20191002_C01_V01
1227,LC08_CU_007014_20191002_20191020_C01_V01,2019/10/02,CU,7,14,2019/10/20,2.2899,1.5636,0.0,3.6944,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20191002_20191020_C01_V01,LC08_CU_007014_20191002_C01_V01
1231,LC08_CU_006013_20191009_20191020_C01_V01,2019/10/09,CU,6,13,2019/10/20,0.0038,0.0016,0.0,36.787,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20191009_20191020_C01_V01,LC08_CU_006013_20191009_C01_V01
1232,LC08_CU_006014_20191009_20191020_C01_V01,2019/10/09,CU,6,14,2019/10/20,0.0027,0.0004,0.0,2.8829,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20191009_20191020_C01_V01,LC08_CU_006014_20191009_C01_V01
1233,LC08_CU_007013_20191009_20191020_C01_V01,2019/10/09,CU,7,13,2019/10/20,0.0147,0.0023,0.0,29.5121,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20191009_20191020_C01_V01,LC08_CU_007013_20191009_C01_V01
1234,LC08_CU_007014_20191009_20191020_C01_V01,2019/10/09,CU,7,14,2019/10/20,0.0007,0.0,0.0,71.5102,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20191009_20191020_C01_V01,LC08_CU_007014_20191009_C01_V01
1238,LC08_CU_007014_20191011_20191020_C01_V01,2019/10/11,CU,7,14,2019/10/20,0.0668,0.0405,0.0,94.3452,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20191011_20191020_C01_V01,LC08_CU_007014_20191011_C01_V01
1239,LC08_CU_006013_20191016_20191101_C01_V01,2019/10/16,CU,6,13,2019/11/01,0.2242,0.0505,0.0,30.0937,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20191016_20191101_C01_V01,LC08_CU_006013_20191016_C01_V01
1240,LC08_CU_006014_20191016_20191101_C01_V01,2019/10/16,CU,6,14,2019/11/01,0.3198,0.10300000000000001,0.0,74.075,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20191016_20191101_C01_V01,LC08_CU_006014_20191016_C01_V01
1245,LC08_CU_006014_20191018_20191031_C01_V01,2019/10/18,CU,6,14,2019/10/31,0.9129,0.7574,0.0,93.1849,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20191018_20191031_C01_V01,LC08_CU_006014_20191018_C01_V01
1246,LC08_CU_007013_20191018_20191101_C01_V01,2019/10/18,CU,7,13,2019/11/01,2.6369,1.7587,0.0,37.2096,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20191018_20191101_C01_V01,LC08_CU_007013_20191018_C01_V01
1247,LC08_CU_007014_20191018_20191101_C01_V01,2019/10/18,CU,7,14,2019/11/01,5.9510000000000005,3.9612,0.0001,3.6003,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20191018_20191101_C01_V01,LC08_CU_007014_20191018_C01_V01
1251,LC08_CU_006013_20191025_20191031_C01_V01,2019/10/25,CU,6,13,2019/10/31,0.1074,0.0226,0.0,36.7871,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20191025_20191031_C01_V01,LC08_CU_006013_20191025_C01_V01
1252,LC08_CU_006014_20191025_20191031_C01_V01,2019/10/25,CU,6,14,2019/10/31,0.3419,0.0392,0.0,2.8843,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20191025_20191031_C01_V01,LC08_CU_006014_20191025_C01_V01
1253,LC08_CU_007013_20191025_20191031_C01_V01,2019/10/25,CU,7,13,2019/10/31,0.5773,0.1781,0.0,29.5368,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20191025_20191031_C01_V01,LC08_CU_007013_20191025_C01_V01
1254,LC08_CU_007014_20191025_20191031_C01_V01,2019/10/25,CU,7,14,2019/10/31,0.2448,0.0489,0.0,71.5302,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20191025_20191031_C01_V01,LC08_CU_007014_20191025_C01_V01
1258,LC08_CU_007014_20191027_20191101_C01_V01,2019/10/27,CU,7,14,2019/11/01,0.0754,0.0412,0.0,94.3725,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20191027_20191101_C01_V01,LC08_CU_007014_20191027_C01_V01
1259,LC08_CU_006013_20191101_20191116_C01_V01,2019/11/01,CU,6,13,2019/11/16,0.0471,0.0135,0.0,30.0988,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20191101_20191116_C01_V01,LC08_CU_006013_20191101_C01_V01
1260,LC08_CU_006014_20191101_20191116_C01_V01,2019/11/01,CU,6,14,2019/11/16,1.9059,0.1954,0.0,74.0714,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20191101_20191116_C01_V01,LC08_CU_006014_20191101_C01_V01
1265,LC08_CU_006014_20191103_20191116_C01_V01,2019/11/03,CU,6,14,2019/11/16,14.3493,9.267999999999999,0.0,93.2487,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20191103_20191116_C01_V01,LC08_CU_006014_20191103_C01_V01
1266,LC08_CU_007013_20191103_20191116_C01_V01,2019/11/03,CU,7,13,2019/11/16,7.5171,3.6588,0.0014,37.3081,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20191103_20191116_C01_V01,LC08_CU_007013_20191103_C01_V01
1267,LC08_CU_007014_20191103_20191116_C01_V01,2019/11/03,CU,7,14,2019/11/16,31.5872,11.8412,0.0039,3.6447,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20191103_20191116_C01_V01,LC08_CU_007014_20191103_C01_V01
1271,LC08_CU_006013_20191110_20191117_C01_V01,2019/11/10,CU,6,13,2019/11/17,50.8074,10.3355,0.0011,37.1541,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20191110_20191117_C01_V01,LC08_CU_006013_20191110_C01_V01
1272,LC08_CU_006014_20191110_20191117_C01_V01,2019/11/10,CU,6,14,2019/11/17,44.9603,9.261000000000001,0.0008,3.0239,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20191110_20191117_C01_V01,LC08_CU_006014_20191110_C01_V01
1273,LC08_CU_007013_20191110_20191117_C01_V01,2019/11/10,CU,7,13,2019/11/17,11.4225,6.2755,0.0023,29.1954,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20191110_20191117_C01_V01,LC08_CU_007013_20191110_C01_V01
