,Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
826,LC08_CU_007013_20181031_20190614_C01_V01,2018/10/31,CU,7,13,2019/06/14,1.8125,1.1531,0.0,36.7789,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20181031_20190614_C01_V01,LC08_CU_007013_20181031_C01_V01
827,LC08_CU_007014_20181031_20190614_C01_V01,2018/10/31,CU,7,14,2019/06/14,1.9867,0.6533,0.0,3.4172,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20181031_20190614_C01_V01,LC08_CU_007014_20181031_C01_V01
831,LC08_CU_006013_20181107_20190614_C01_V01,2018/11/07,CU,6,13,2019/06/14,0.1142,0.0188,0.0,36.3076,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20181107_20190614_C01_V01,LC08_CU_006013_20181107_C01_V01
832,LC08_CU_006014_20181107_20190614_C01_V01,2018/11/07,CU,6,14,2019/06/14,0.4897,0.0437,0.0,2.7065,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20181107_20190614_C01_V01,LC08_CU_006014_20181107_C01_V01
833,LC08_CU_007013_20181107_20190614_C01_V01,2018/11/07,CU,7,13,2019/06/14,0.4453,0.1141,0.0,29.9915,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20181107_20190614_C01_V01,LC08_CU_007013_20181107_C01_V01
834,LC08_CU_007014_20181107_20190614_C01_V01,2018/11/07,CU,7,14,2019/06/14,0.0156,0.0038,0.0,71.9995,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20181107_20190614_C01_V01,LC08_CU_007014_20181107_C01_V01
838,LC08_CU_007014_20181109_20190613_C01_V01,2018/11/09,CU,7,14,2019/06/13,0.0306,0.0182,0.0,94.1106,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20181109_20190613_C01_V01,LC08_CU_007014_20181109_C01_V01
839,LC08_CU_006013_20181114_20190614_C01_V01,2018/11/14,CU,6,13,2019/06/14,85.5819,4.2898,0.0032,30.3648,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20181114_20190614_C01_V01,LC08_CU_006013_20181114_C01_V01
840,LC08_CU_006014_20181114_20190614_C01_V01,2018/11/14,CU,6,14,2019/06/14,95.0914,2.8367,0.0002,74.3544,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20181114_20190614_C01_V01,LC08_CU_006014_20181114_C01_V01
845,LC08_CU_006014_20181116_20190613_C01_V01,2018/11/16,CU,6,14,2019/06/13,3.3883,3.1832,0.0,93.0795,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20181116_20190613_C01_V01,LC08_CU_006014_20181116_C01_V01
